,Judul,Isi
105,"Mardiono Sapa Sandiaga Uno, Peserta Harlah Ke-50 PPP Riuh",Plt Ketum PPP Mardiono menyapa Menparekraf Sandiaga Uno. Suasana Harlah ke-50 PPP pun langsung riuh saat nama Sandiaga disebut.
106,"Disebut Restui Uu Maju Cagub Jabar, RK: Saya Bilang 'Saya Doakan'",Gubernur Jabar Ridwan Kamil merespons Wagub Jabar Uu Ruzhanul Ulum yang mengklaim mengantongi restu untuk maju sebagai calon gubernur (cagub) Jabar
107,PKB Sebut Penentuan Capres di Tangan Prabowo-Cak Imin Jika KIB Gabung,Ketua DPP PKB Daniel Johan mengatakan Koalisi Kebangkitan Indonesia Raya (KKIR) terbuka jika Koalisi Indonesia Bersatu (KIB) ingin bergabung.
108,"Berbatik Hijau, Jokowi Hadiri Puncak Peringatan Harlah ke-50 PPP",Presiden Joko Widodo (Jokowi) menghadiri puncak peringatan Hari Lahir ke-50 PPP di ICE BSD City Tangerang.
109,"Masa Kampanye Belum Mulai, KPU Minta Parpol Tahan Diri!","Hasyim menjelaskan peserta pemilu dilarang memasang iklan terkait citra diri, identitas, ciri-ciri khusus atau karakteristik partai politiknya di media massa."
110,Mantan Ketua DPW Perindo NTB Gabung NasDem,Mantan Ketua DPW Partai Perindo NTB Lalu Athari Fathullah resmi bergabung dengan Partai NasDem.
111,Pihak Wiranto Buka Suara soal Kabar Gabung PAN,"Adi Warman mengatakan Wiranto masih akan memberikan kontribusi untuk negara. Perjalanan Wiranto untuk bangsa, kata dia, terus berlanjut."
112,"Harap AHY Jadi Wakilnya Anies, Demokrat Siapkan 2 Strategi untuk 2024","Demokrat juga mengharapkan ketua umum mereka, Agus Harimurti Yudhoyono (AHY) bisa menjadi wakilnya Anies Baswedan."
113,Kian Terang Kabar Wiranto Bergabung ke PAN,PAN bersiap menyambut kader baru. Nama Mantan Ketua Umum Partai Hanura Jenderal TNI (Purn) Wiranto mengemuka ke permukaan isu.
114,Manuver JoMan Pakai Setelan ala Gerindra Usai Dukung Prabowo,Setelan yang dipakai Immanuel dkk saat menyambai kediaman Ketum Gerindra Prabowo Subianto terlihat ala Gerindra.
115,"Masinton Minta Maaf PDIP Tak Bisa Gabung Pro Anies, Demokrat Memaklumi","Masinton PDIP meminta maaf karena tidak bisa bergabung dengan Koalisi Perubahan yang mendukung Anies. Partai Demokrat (PD), yang mendukung Anies, memaklumi."
116,"Masinton Bilang PDIP Tak Bisa Ikut Pro Anies, NasDem: Tak Gabung Juga Bagus",Masinton PDIP meminta maaf karena partainya tidak bisa bergabung dengan Koalisi Perubahan yang mendukung Anies. NasDem mengaku tak masalah.
117,Polda Bali Petakan Tingkat Kerawanan TPS-Siapkan Personel untuk Pemilu,"Polda Bali mulai melakukan pemetaan kerawanan TPS menjelang Pemilu 2024. Pemetaan TPS terdiri dari tiga kategori, yakni aman, rawan satu dan rawan."
118,"Jelang Pemilu, Bawaslu Jabar Soroti TPS di Daerah Rawan Bencana",Bawaslu Jabar meminta penyelenggara Pemilu 2024 untuk memperhatikan tempat khusus pemungutan surat suara di daerah bencana. Di Jabar ada beberapa daerah rawan.
119,"Sebut Kepemimpinan Jokowi Berhasil, Prabowo Berniat Meneruskan","Usai bertemu relawan pendukungnya, Ketum Gerindra Prabowo Subianto berniat meneruskan kepemimpinan Presiden Joko Widodo (Jokowi) yang menurutnya berhasil."
120,"Usai Bertemu JoMan, Prabowo Diyakini Bisa Teruskan Perjuangan Jokowi","Ketum Gerindra Prabowo Subianto telah menerima kedatangan Prabowo Mania 08 di Kertanegara, Jaksel. Prabowo diyakini bisa meneruskan perjuangan Jokowi."
