,Akun,Konten,Lokasi
105,RitasariiSari,@ayukhanny @puanmaharani_ri salut 👏👏👏,
106,RitasariiSari,@azkaayulutfiah @puanmaharani_ri Amiinn ya rabbal alamin..,
107,j_jhondra,@Muhammad_Saewad @puanmaharani_ri Jangan membawa yang bersifat personality keglobalisasi hal itu sifat perseorang pribadi dia bukan karena agamanya atau alirannya karena kaffah nya bukan seperti itu beliu sedang dalam kehilafan kena rayuan syetan. Karena syetan itu musuh nyata manusia .,
108,RitasariiSari,"@puanmaharani_ri Yuk mudik dengan aman dan nyaman, 👍👍👍",
109,RitasariiSari,@puanmaharani_ri @KAI121 panen ya KAI di Gelombang pemudik menjelang puasa,
110,arisqaputra1,"@Jhonkosmik Tunggu saatnya akan tiba Bu @puanmaharani_ri bukan hanya sekedar menjadi Calon dan Bekas Calon Abadi, tapi jadi Presiden Indonesia.
✌️😎",
111,PertamaPpratama,@RitasariiSari @puanmaharani_ri CAPRES TAHUN 2024 Mbak Puan Maharani ❤️❤️❤️,
112,PertamaPpratama,"@ayukhanny @puanmaharani_ri Senangnya tak terbendung lagi, ketemu sama keluarga tercinta",
113,PertamaPpratama,@DedigDedigt @puanmaharani_ri ayo yang pada mau mudik harus melakukan persiapan dari sekarang,
114,PertamaPpratama,@firmaansyah_ari @puanmaharani_ri Mbak Puan 😍😍😍,
115,PertamaPpratama,@artisindo8 @puanmaharani_ri tambah keren aja KAI,
116,PertamaPpratama,@azkaayulutfiah @puanmaharani_ri luar biasa sekali ya  tradisi mudik di indonesia,
117,PertamaPpratama,@muhammadd_deni @puanmaharani_ri kalau saya sih lebih pilih naik pesawat,
118,PertamaPpratama,@AurelTritania @puanmaharani_ri kerennn bangetttt KAI,
119,PertamaPpratama,"@puanmaharani_ri kalau sakit di jalan, siapa yang rugi??",
120,PertamaPpratama,"@puanmaharani_ri @KAI121 harus pesan tiket ya di H-45, supaya kebagian",
121,ayukhanny,@RitasariiSari @puanmaharani_ri The next president 2024 ...,
122,ayukhanny,@muhammadd_deni @puanmaharani_ri ternyata banyak juga para pemudik menggunakan KAI,
123,ayukhanny,@firmaansyah_ari @puanmaharani_ri Salam Sukses but kita semua nya,
124,ayukhanny,@artisindo8 @puanmaharani_ri tapi sayang engk bisa merokok ya,
125,ayukhanny,@DedigDedigt @puanmaharani_ri harus itu di laksanakan,
126,ayukhanny,@AurelTritania @puanmaharani_ri banyak pembaruan di KAI,
127,ayukhanny,@azkaayulutfiah @puanmaharani_ri Siap menyambut  tradisi mudik di indonesia,
128,ayukhanny,"@PertamaPpratama @puanmaharani_ri kangen lah, pasti udah 1 tahun atau lebih sdh tak bertemu",
129,ayukhanny,@puanmaharani_ri siap dukung program pemerintah,
130,ayukhanny,"@puanmaharani_ri @KAI121 engk pernah mudik, tapi terus jaga tali silaturahmi pasti nya",
131,muhammadd_deni,@firmaansyah_ari @puanmaharani_ri Mantap KAI 👍👍👍,bandung
132,muhammadd_deni,@RitasariiSari @puanmaharani_ri My president for 2024,bandung
133,muhammadd_deni,@ayukhanny @puanmaharani_ri amin yra❤️,bandung
134,muhammadd_deni,@DedigDedigt @puanmaharani_ri Love buat Family kita,bandung
135,muhammadd_deni,@azkaayulutfiah @puanmaharani_ri jangan lupa protokol kesehatan di laksanakan,bandung
136,muhammadd_deni,@PertamaPpratama @puanmaharani_ri jangan lupa pulang ya kawan-kawan,bandung
137,muhammadd_deni,@artisindo8 @puanmaharani_ri Amin....,bandung
138,muhammadd_deni,@AurelTritania @puanmaharani_ri KAI emang keren sampai sekarang,bandung
139,muhammadd_deni,@puanmaharani_ri setuju banget dengan mbak puan,bandung
140,muhammadd_deni,@puanmaharani_ri @KAI121 wah laris manis ya tiket nya menjelang bulan puasa,bandung
141,azkaayulutfiah,@firmaansyah_ari @puanmaharani_ri Bravo  KAI,
142,azkaayulutfiah,@AurelTritania @puanmaharani_ri semakin banyak orang menggunakan KAI sebagai alternatif mudik,
143,azkaayulutfiah,@artisindo8 @puanmaharani_ri KAI mengikut perkembangan zaman,
144,azkaayulutfiah,@RitasariiSari @puanmaharani_ri Sehat trus mbak Puan..is the best👍👍👍,
145,azkaayulutfiah,@muhammadd_deni @puanmaharani_ri sekarang naik KAI udah nyaman loh,
146,ArthaArtha15,"@Mdy_Asmara1701 Menginginkan @puanmaharani_ri menjadi capres dari PDIP , secara tidak langsung menunjukkan ketidakyakinan anda terhadap @aniesbaswedan  bakal menang 😅",
147,azkaayulutfiah,@DedigDedigt @puanmaharani_ri joss 👍,
148,azkaayulutfiah,@ayukhanny @puanmaharani_ri Alhamdulillah,
149,azkaayulutfiah,@PertamaPpratama @puanmaharani_ri asyik ya yang bisa mudik,
150,azkaayulutfiah,@puanmaharani_ri Siap dukung Protokol kesehatan,
151,azkaayulutfiah,@puanmaharani_ri @KAI121 Terimakasih Mbak Puan,
152,AurelTritania,@muhammadd_deni @puanmaharani_ri Rekomendasi banget,
153,AurelTritania,@hambarokp @puanmaharani_ri engk terasa ya,
154,AurelTritania,@DedigDedigt @puanmaharani_ri kangen dengan kampung halaman ❤️❤️❤️,
155,pricilia_maya22,"First rauph and second just continue ,third constanly greed damn be trayed ..over and over again @puanmaharani_ri @jokowi @SBYudhoyono @SriMulyaniNet @prabowo Mega Mega hitters bigger mayning slave of you https://t.co/jve4CwcsCt","DKI Jakarta, Indonesia"
156,AurelTritania,@ayukhanny @puanmaharani_ri kereeeennnn ❤️❤️❤️ ya mbak puan,
157,AurelTritania,@artisindo8 @puanmaharani_ri Saya Bangga  dengan KAI,
158,AurelTritania,@RitasariiSari @puanmaharani_ri maju terus Mbak Puan...saya mendukung Mbak Puan 💪👍👍,
159,AurelTritania,@PertamaPpratama @puanmaharani_ri mudik naik kereta api,
160,AurelTritania,@azkaayulutfiah @puanmaharani_ri barokallah,
161,AurelTritania,@puanmaharani_ri lebih baik mencegah daripada mengobati,
162,AurelTritania,@puanmaharani_ri @KAI121 kalau saya bawak mobil sendiri,
163,artisindo8,@firmaansyah_ari @puanmaharani_ri 🔥😍🙌,
164,artisindo8,@AurelTritania @puanmaharani_ri Mantep 🙌,
165,artisindo8,@RitasariiSari @puanmaharani_ri Insyaallah Allah Mbak Puan RI 1 2024,
166,artisindo8,@azkaayulutfiah @puanmaharani_ri Sukses  buat kita semua,
167,artisindo8,@ayukhanny @puanmaharani_ri Bismillah semangat 🔥 yang mau pada mudik semua,
168,artisindo8,@muhammadd_deni @puanmaharani_ri KAI semakin meningkat pelayanan nya,
169,artisindo8,@DedigDedigt @puanmaharani_ri protokol kesehatan nomor 1,
170,artisindo8,@PertamaPpratama @puanmaharani_ri kangen dengan masakan emak,
171,artisindo8,@puanmaharani_ri kesehatan harus di jaga sewaktu kita melakukan perjalanan atau mudik,
172,artisindo8,@puanmaharani_ri @KAI121 engk terasa ya sebenter lagi tradisi itu di lakukan,
173,firmaansyah_ari,@AldainSatu @puanmaharani_ri Mantab🔥,
174,firmaansyah_ari,@Safitridede1 @puanmaharani_ri Bismillah 2024🙌🙌,
175,firmaansyah_ari,@RitasariiSari @puanmaharani_ri bismillah mbak Puan presiden ke 2024,
176,firmaansyah_ari,@muhammadd_deni @puanmaharani_ri yang mau pada mudik nanti protokol kesehatan harus tetap di jaga,
177,firmaansyah_ari,@artisindo8 @puanmaharani_ri tiket nya susah banget dapat kalau sdh menjelang mudik,
178,firmaansyah_ari,@DedigDedigt @puanmaharani_ri Alhamdulillah ya bisa pada mudik semua nya nanti,
179,firmaansyah_ari,@azkaayulutfiah @puanmaharani_ri tradisi yang sangat luar biasa,
180,firmaansyah_ari,"@PertamaPpratama @puanmaharani_ri engk terasa ya sebentar lagi kita memasuki bulan suci ramadhan, dan persiapan untuk pulang ke kampung halaman",
181,firmaansyah_ari,@ayukhanny @puanmaharani_ri kangen kampung halaman,
182,firmaansyah_ari,@AurelTritania @puanmaharani_ri 👏👏👏,
183,firmaansyah_ari,@puanmaharani_ri @KAI121 kepengen mudik tapi engk ada kampung halaman,
184,amalhasanah1,"""Terpilihnya Ganjar Pranowo sebagai Presiden oleh Ketum PDIP Megawati adalah sebuah keberanian yang patut kita akui. Hal ini menandakan bahwa Puan Maharani bukan satu-satunya pilihan PDIP. #GanjarPranowoPresiden #PuanMaharani #PDIP #Megawati",
185,WartaEkonomi,"Puan Maharani Akan Lakukan Kunjungan, PAN: Acara Santai Saja https://t.co/1d7lGkHAN2","Jakarta, Indonesia"
186,salmanbestu,@puanmaharani_ri Mbk puan calon presiden dari PDI-P pas banget,
187,KNanden,@puanmaharani_ri @CommonsSpeaker 👍,
188,kopi_stabil,@TsamaraDKI 55 - 45 untuk mbak @puanmaharani_ri,Indonesia Ujung
189,bbgjoko,@vita_AVP @arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Blm mau nyebut nama.,Indonesia
190,Penipu_Rakyat,"@OposisiCerdas Memang ibunya @puanmaharani_ri percaya Allah SWT ?

Menyebut SWT AJA GAK BISA. KATANYA SERING IKUT PENGAJIAN.

🤮",USA
191,ThemancalledKZ,"@puanmaharani_ri bu, kok ga mutualan sm bu mega??",
192,Abdoeljegger202,@Hasbil_Lbs @AgusYudhoyono @aniesbaswedan mbok @puanmaharani_ri tolong dilaporkan ke mamakmu ya,
193,kopi_stabil,@puanmaharani_ri Amin,Indonesia Ujung
194,ThemancalledKZ,@AbahHazoel @puanmaharani_ri bu puannnya jadi MOTM itu,
195,ThemancalledKZ,"@puanmaharani_ri ibu keren fotonya, bisa tendangan corner ga bu?",
196,salmanbestu,@puanmaharani_ri Mbk puan lebih dominan,
197,suyamuki,@puanmaharani_ri Bu masyarakat  jangan di bebani syarat syarat yang ribet lagi..( Covid ),"Kuta,Bali Indonesia"
198,PUANnews,"#Willy: RUU PPRT Belum di Paripurnakan Karena Masih Tertahan di ... - realitarakyat 
#PuanMaharani

https://t.co/P4Wn74F1EG","Gatakrejo, Nguter, Sukoharjo"
199,PUANnews,"#Pengurus MLKI, Puan Hayati, dan Gema Pakti DMD Kabupaten Klaten Dikukuhkan - https://t.co/gTczYHgBiF 
#PuanMaharani

https://t.co/UdD6FeZRfp","Gatakrejo, Nguter, Sukoharjo"
200,fatawi_pw,@P3nulis_alam1_ @puanmaharani_ri  ibu x,kediri
201,maryami_arifin,@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Mega,
202,mangkuto78,@Eltiga8 @puanmaharani_ri Insyaallah Bu puan bisa.,jakarta 
203,iwanKur76759461,"@Mdy_Asmara1701 Dan juga jeng @puanmaharani_ri sdh jadi ustadzah yang dicintai emak² pengajian, beliau akhir² ini sibuk keliling daerah mengisi tausyiah jelang pilpres 2024. 
Selain jadi ustadzah beliau juga pekerja keras &amp; wanita serba bisa, beliau jadi inspirator para petani &amp; pedagang
#Calm https://t.co/LyjihXmWka",
204,JatengTV,(13) Masih belum banyak peraturan yang mengatur perusahaan PT perorangan ini sehingga pemilik perusahaan bebas melakukan aktivitas usahanya. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
205,sheilaolvvv,@puanmaharani_ri Wan?aman??,"Temanggung, Indonesia"
206,mku_manis,"@Nandoreda123 @mohmahfudmd @jokowi @KemensetnegRI @puanmaharani_ri @DPR_RI @KPK_RI @NarasiNewsroom @NajwaShihab @AimanWitjaksono Terima kasih mas...uda ikut meng up...semoga para pejabat pusat mau memperhatikan kasus yg lg hangat di kota Kudus Jawa Tengah.
Pengisian perangkat desa yg cacat hukum...(bisa2nya peserta tak ikut ujian keluar nilai, nilai berubah ubah, serta tak mematuhi perbup)","Jawa Tengah, Indonesia"
207,karinamamsoto,@okk__otsu @englishfess_ puma is puan maharani🙏🏻🙏🏻🙏🏻,
208,K7_m0en,"Gaya mu Cil ? Pake ngatur² siapa yg jadi lawan junjungan lu ?
Klu serius mau @puanmaharani_ri jadi Presiden,lu resign dulu deh jadi buzzernya Anies..?
Berani lu ? 😄😄",Indonesia.
209,Disuruh_Iben,Puan Maharani-Muhaimin Iskandar adalah Gambling Besar PDI-P - https://t.co/rMcvXyHo1a - https://t.co/rMcvXyHo1a https://t.co/wQ3VUcv6KC #IndonesiaKuat #BangkitBersama,Pulau Impian
